Date,Price,Open,High,Low,Volume,Change %
12/3/2020,22695.88,23500.46,23500.46,22694.32,1060,-3.72
12/2/2020,27878.43,27871.9,27919.1,27866.46,152.34,0.02
11/30/2020,35042.14,34885.51,35184.93,34765.94,415.53,0.45
11/27/2020,34885.51,34803,34885.51,34748.26,190.27,0.24
11/26/2020,34803,34769,34882.52,34768.73,257.54,0.1
11/25/2020,34769,34340.56,34820.77,34340.56,434.92,1.25
11/24/2020,34340.56,34119.74,34343.56,34095.69,365.41,0.64
11/23/2020,34121.78,34136.82,34250.45,33582.38,567.57,-0.04
11/20/2020,34136.82,34643.65,34665.08,34064.25,344.8,-1.46
11/19/2020,34643.65,34818.01,34869.53,34633.36,364.92,-0.5
11/18/2020,34818.01,34242.83,34832.04,34226.75,661.13,1.68
11/17/2020,34242.83,34769.66,34769.66,34126.23,840.88,-1.59
11/16/2020,34795.82,35041.4,35245.62,34685.94,668.53,-0.69
11/13/2020,35037.46,35344.01,35814.18,34552.6,1240,-0.86
11/12/2020,34250.74,34576.49,34666.79,34145.13,796.07,-0.94
11/11/2020,33268.36,32648.02,33268.36,32585.04,858.16,1.9
11/9/2020,25591.95,25520.97,25592.22,25514.22,212.57,0.28
11/8/2020,24883.7,25027.61,25067.18,24825.09,205.97,-0.58
11/6/2020,25182.67,25215.04,25302.85,25182.67,337.13,-0.13
11/5/2020,23950.83,24045.4,24058.15,23949.18,204.72,-0.39
11/3/2020,23572.75,24278.53,24321.51,23260.07,1390,-3.35
11/2/2020,27871.9,27769.07,27936.16,27637.33,276.27,0.36
10/30/2020,30530.69,29439.35,30530.69,29439.35,807.8,3.71
10/28/2020,29437.6,28980.29,29444.12,28971.44,375.25,1.58
10/27/2020,28980.29,28777.96,28980.29,28775.59,385.57,0.7
10/26/2020,28777.96,28697.06,28777.96,28685.54,340.8,0.28
10/23/2020,28697.06,28563.87,28706.33,28559.72,282.56,0.47
10/22/2020,28563.87,28449.49,28567.14,28413.11,311.32,0.4
10/21/2020,28449.49,28645.21,28645.21,28250.71,326.56,-0.75
10/20/2020,28665.82,28658.31,28720.49,28567.07,297.29,0.02
10/19/2020,28659.07,28650.44,28680.68,28588.24,287.3,0
10/16/2020,28659.45,28344.04,28680.87,28313.57,489.09,1.11
10/15/2020,28344.04,28354.14,28364.47,28333.06,330.66,0
10/14/2020,28344.33,28344.04,28381.27,28332.51,218.42,0
10/13/2020,28344.04,28337.49,28351.51,28299.61,535.83,0.02
